x,y,z,A11,A12,A13,A21,A22,A23,A31,A32,A33
0.0,-0.0075,-0.0075,-3.4110659652244366,0.8710297813545292,2.3506681507151264,0.6074968015374882,1.8520588228859627,-3.235459797837174,1.8720841625671434,0.8945397675125351,2.8830702297489608
0.0,-0.0075,0.0,-4.332095378715886,1.076455294902652,3.2205782856801477,0.7842017549251277,2.302832014598755,-4.373198134614134,1.8065984435300508,0.8029574880369618,3.033365332214802
0.0,-0.0075,0.0075,-5.3750041862748255,1.2836596280440216,4.131644584079636,1.0106571860271458,2.7827946323426036,-5.646438084729626,1.4979976269567783,0.596299828101538,2.837489736746966
0.0,-0.0075,0.015,-6.483289689588403,1.436021509589088,5.005726510615066,1.2646603581622369,3.1829805820075014,-7.023458047810932,0.9466026699243915,0.2776295219368485,2.079784255127004
0.0,0.0,-0.015,-2.726101254805412,0.9217747888061385,1.3107494892296487,0.02898105572170267,1.5594368186073801,-2.2403630393148912,1.8680160696239803,1.3114380882791266,1.8577449900117615
0.0,0.0,-0.0075,-3.5190548293040225,1.2420756432751865,1.697248130659591,-0.010716716188700464,2.1048393352025005,-3.0343505557128583,1.9148448701962786,1.4153261877333974,1.9172836321100784
0.0,0.0,0.0,-4.523803411573672,1.534493616960331,2.1950740151343644,0.12087268644687117,2.722301424018752,-3.9042494909940406,1.8816839508514491,1.3637760728082167,1.817972964555604
0.0,0.0,0.0075,-5.3053555055223764,1.905863015763933,2.8562693817348292,-0.012328807077676102,3.3362687335642423,-4.780628134602296,1.3739453208421673,1.1349744814490568,1.6176237804342601
0.0,0.0,0.015,-6.646236454730705,2.295348277374662,3.365367038177289,-0.03978652204958497,3.9591267133422234,-5.830916219025072,1.0468666064046976,0.7047548859023681,1.0824147477719315
0.0,0.0075,-0.015,-2.644811017693477,1.1657219633449878,1.0373912907124816,-0.44425533409927964,1.5449899780880616,-2.1106640161988737,1.747425281349818,1.7623869122158404,1.3678594891872662
0.0,0.0075,-0.0075,-3.4103896734585417,1.5871386793810542,1.3165874943622182,-0.6166893465314565,2.2779047852127374,-2.7688954973227737,1.8056314658748,1.986926003075781,1.3647081622470796
0.0,0.0075,0.0,-4.345909523686756,2.1389124474340226,1.5834689023981092,-0.8260900350460996,3.0205859216039763,-3.4000327795618706,1.7075714886888484,2.0590956523877244,1.221893442612911
0.0,0.0075,0.0075,-5.322547846852704,2.856350405915234,1.830942321088755,-1.0126523701543522,3.8990242928524723,-4.053640261816177,1.4760341460798105,1.949860535852148,0.8930874705847904
0.0,0.0075,0.015,-6.46789752852123,3.415287605003793,2.0787853175106563,-1.2454539834848566,4.815792074256407,-4.612509292272943,0.9359741875218757,1.3548727570461532,0.40675326669323275
0.0,0.015,-0.015,-2.3362924774483234,1.4518873558830367,0.6817077854669424,-0.831618901981179,1.5926314639021404,-1.8879081727232947,1.5862492050969652,2.273311405007864,0.8741473656814005
0.0,0.015,-0.0075,-3.250809755258827,2.183214706059436,0.9091856000918048,-1.148497914867425,2.159213097293,-2.3176484243568467,1.6857830662534017,2.6784779985457723,0.7172449067549165
0.0,0.015,0.0,-4.078935654955041,2.784493170321631,1.0287207219111127,-1.4243606430209537,3.069677999846934,-2.7758921277372393,1.5911469854283404,2.891354253511058,0.5886011218837507
0.0,0.015,0.0075,-4.998803100427178,3.9689912442062343,1.0516318479477975,-1.866105463644509,4.318577466021342,-3.292639328069502,1.1880249301578827,3.0541595434431454,0.2690696971570413
0.0,0.015,0.015,-5.91830626831179,5.139955199977172,1.1194892722291918,-2.3229344616055165,5.700667960769268,-3.725978980374661,0.6276797033994387,2.477010672980574,-0.05370802997628488
0.0075,-0.015,-0.015,-2.0911501294703823,0.34643242087317205,1.5647589581738417,0.6519604207658584,1.457808613340801,-2.5928170186528168,1.0721955091803312,0.6703446173348306,4.0829239340955255
0.0075,-0.015,-0.0075,-2.7036113095315164,0.41387196799325665,2.5768106636761545,0.8552589102858721,1.810285727981111,-3.8082181072138597,0.983917200947539,0.6014585483409636,4.7274491652775605
0.0075,-0.015,0.0,-3.3042502052624942,0.4745133223813015,3.5194841353468056,1.1354058976511079,2.2317732700971202,-5.775372288704037,0.7381973845503736,0.4201791613620723,5.686688404458101
0.0075,-0.015,0.0075,-3.929900849308535,0.5058065099427147,5.060230620289206,1.472231655709505,2.678065150608764,-8.265135622014224,0.41964975385189174,0.2532810555432932,5.68377790374204
0.0075,-0.015,0.015,-4.6594803231166795,0.3809595223853686,7.6529501934312245,1.9816167607545292,3.184083623529983,-12.024305734588385,-0.14259808378509764,-0.10412054062756623,6.324262124898717
0.0075,-0.0075,-0.015,-2.2355288156346123,0.484465074324328,1.306736849268443,0.37715383010483194,1.6403316034621265,-2.6757322229773726,1.2158647454614813,1.0851191509373037,3.011159043211278
0.0075,-0.0075,-0.0075,-2.822079151594733,0.6636074676231911,1.8091851969471258,0.43681950528240765,2.1711251033519012,-3.8115808052290587,1.1690653808852889,1.0897474309436552,3.4945160537157016
0.0075,-0.0075,0.0,-3.4883509787849456,0.7782340810021486,2.6294722931402834,0.6214937129417082,2.667916867020801,-5.317872701600428,0.9716297545431987,0.9770862530710036,3.9034509927912757
0.0075,-0.0075,0.0075,-4.140504379954887,0.936258329908683,3.490339121686614,0.812981743818289,3.313347451849594,-7.21902518181907,0.6766379710228011,0.7398099886004753,3.8524523948654106
0.0075,-0.0075,0.015,-4.800197638692515,1.0364360212720625,4.426307067611914,1.0230155752162102,3.9406891135611803,-9.357596626232977,0.24987715609479932,0.38436598392200444,3.0904035438840753
0.0075,0.0,-0.015,-2.3023656779154744,0.6881432383456347,0.9330148154554595,-0.012782611876584747,1.8265359677680784,-2.584238560061296,1.3013527964078746,1.4721050999861975,2.2086924726131847
0.0075,0.0,-0.0075,-2.8764918693896533,0.9067757380087457,1.23975833708678,0.0007461442601574587,2.4464935788085045,-3.5522239514502916,1.2208468622384032,1.67050930712344,2.332083730695428
0.0075,0.0,0.0,-3.6642836299520467,1.1892448242844667,1.7706079567156805,0.0024908523129424844,3.1632282681752604,-4.597694556965552,1.1482473380412803,1.652010371957293,2.261468136605367
0.0075,0.0,0.0075,-4.200127779661484,1.5298446381581994,2.1497749508660595,-0.0045070383053573155,4.08339307153924,-5.936987501747893,0.8234697590851989,1.475377363511084,2.1647123325263116
0.0075,0.0,0.015,-4.887289980775163,1.8741601877576581,2.6199893331638675,-0.001081038663813469,4.968952348572853,-6.816645106634198,0.3497547470507172,1.0355732819215935,1.4765549380039433
0.0075,0.0075,-0.015,-2.2731524320237586,0.8682014791373592,0.7804535293644059,-0.3410876073298118,1.8492119141362808,-2.348631970761409,1.2298020377628054,2.161868960916085,1.4953510863003756
0.0075,0.0075,-0.0075,-2.885531898185837,1.2073786905411992,1.0102402784388058,-0.44014377730576126,2.580858281145525,-3.073212010573154,1.1781980735254032,2.3976277926990064,1.5271299311853166
0.0075,0.0075,0.0,-3.492089896828317,1.8392713530478166,1.1284606019552663,-0.6205649559841409,3.524726024289944,-3.9370215303731055,0.9689725835865483,2.5181357107397653,1.4466362273305235
0.0075,0.0075,0.0075,-4.167942520436838,2.3344712172543143,1.381898997246041,-0.7908990753493798,4.901265216777025,-4.791317086927169,0.6824467795823378,2.5314860563570045,1.14013192462062
0.0075,0.0075,0.015,-4.739533745765374,3.087409054284824,1.478541692146477,-1.0105254656708906,6.464519325705861,-5.731421287573648,0.2355491741751353,2.05514505991623,0.5604047462622564
0.0075,0.015,-0.015,-2.115856863715014,1.0960558026089258,0.4993106805783547,-0.6701168508115957,1.7262496717236504,-2.039621125886816,1.1204196060185736,2.7552165479975956,0.9532417769035978
0.0075,0.015,-0.0075,-2.7796527127791832,1.6942225903662198,0.6257682924636008,-0.886377413219241,2.6023125529540514,-2.5972179911729527,1.042808561369994,3.274015359006909,0.8504147966736219
0.0075,0.015,0.0,-3.245816442122579,2.394697433864309,0.688963775940753,-1.0916639832162534,3.909037111930984,-3.247636594440162,0.7753367527549131,4.134789246998208,0.6060473101352017
0.0075,0.015,0.0075,-3.9906677215827733,3.716360808505043,0.691406048327175,-1.4877990845659876,5.730668488367747,-3.911581848292392,0.3754351452650267,4.643124671575267,0.2122027155627643
0.0075,0.015,0.015,-4.567345843524706,4.769920056541754,0.670274100337574,-1.964074295995863,8.12234326352461,-4.606256702480094,-0.10293446323287811,4.043739809337906,-0.1463129908818345
0.015,-0.015,-0.015,-1.8403112782656388,0.19799009665165748,0.944248167438634,0.5459596300399043,1.5392458614047477,-2.880247199756922,0.6590604190849468,0.6954079318624191,4.698696477140663
0.015,-0.015,-0.0075,-2.2100912238691395,0.2206243505495321,1.5216238728184042,0.6934465241566455,1.9863125185840278,-4.426583333308951,0.5006740542551902,0.628403628099284,5.4210287502894845
0.015,-0.015,0.0,-2.5737194313106584,0.24774505102937383,2.191255176642719,0.9297061449624351,2.442763688096146,-6.742244205145036,0.191469329604203,0.41764295467833096,7.3720214039407965
0.015,-0.015,0.0075,-2.9667233139639184,0.20233898236476922,3.6413774153097616,1.2704961324894806,3.047191457698759,-10.495783458107308,-0.17090765448039488,0.1512050514972177,7.957161653218015
0.015,-0.015,0.015,-3.3062183626488792,0.09646644812203863,5.264954249723543,1.8616293568229636,3.759884034275831,-15.84201150196611,-0.6003083447923413,-0.2736550011689092,8.414492401865807
0.015,-0.0075,-0.015,-1.913968292374832,0.27341384451721884,0.7362485399045663,0.2976287734599743,1.7053460727444094,-2.919829866530568,0.7777668144734825,1.1448560760705753,3.473782091142427
0.015,-0.0075,-0.0075,-2.3167899847131856,0.36784261224417014,0.9668290946724736,0.3440009440029701,2.381066577920494,-4.03634921283071,0.6409340426522179,1.234240342249925,3.938551581138511
0.015,-0.0075,0.0,-2.7053645123360384,0.42275936137350834,1.5896928267867092,0.49757236404901484,2.9605193450923575,-6.1754477077395515,0.40315121817801125,1.1032897700029232,4.73847025282235
0.015,-0.0075,0.0075,-3.1258128447848796,0.5130615842681989,2.0104605774040625,0.6574702542861993,3.7380235271307143,-8.172861939818292,0.14936566299533077,0.8565487510834423,4.561971692415845
0.015,-0.0075,0.015,-3.444455803933731,0.537320267395479,2.9139173764478747,0.9138894953451132,4.501577907647644,-11.120350785626053,-0.12285291875780563,0.4286930778128906,3.8975554721370904
0.015,0.0,-0.015,-1.9801024151373985,0.39456430840462475,0.5276615022721167,-0.03927790562370439,1.9559858369116099,-2.697859113971895,0.8576704454835551,1.7138276023386558,2.3177660405659557
0.015,0.0,-0.0075,-2.3887711697619656,0.5247679105219675,0.7574789167621816,-0.0032507706533486426,2.6717202838408873,-3.906368215934595,0.7091259972059825,1.919982609528986,2.5664573373434427
0.015,0.0,0.0,-2.7842474009044937,0.7162507508596659,0.9902559056505873,0.001304766407174418,3.603574436585129,-5.15234232163816,0.5084980099105824,1.9860008477918922,2.7586253333690993
0.015,0.0,0.0075,-3.1961590584324853,0.882520854415706,1.3081870621725953,0.04026938751767648,4.62265191530833,-6.804920180098913,0.2539731073545118,1.775403494979494,2.6617093711952426
0.015,0.0,0.015,-3.5125327377288733,1.0909389223887205,1.5916447461265057,0.012887012359373562,5.889519407437545,-8.683767746080928,-0.04462586146389107,1.2960872983192924,1.9029190767518473
0.015,0.0075,-0.015,-1.9184122344752585,0.5091546875743538,0.4108698463019199,-0.25968866641036925,1.9323843033709815,-2.520395595855016,0.7904999724285796,2.31769347301939,1.7052479802938365
0.015,0.0075,-0.0075,-2.319377362792041,0.6963693725605871,0.549746856054733,-0.29257672062552076,2.974787635378046,-3.4958632544008736,0.5852722717694886,2.8228720958649762,1.7818521240132792
0.015,0.0075,0.0,-2.719979882272161,1.076516514414729,0.6327391824488146,-0.4546900030194395,4.161421475725648,-4.26881608098958,0.4369341924180146,3.199477372288189,1.665629809082346
0.015,0.0075,0.0075,-3.1298321400156435,1.4391685268722807,0.7302166800267077,-0.6270919421434378,5.930633140198378,-5.583681265749975,0.154591792484959,3.4621519643570475,1.2956478530944684
0.015,0.0075,0.015,-3.453893591073681,1.931683694698782,0.8114639207960419,-0.8713502538323092,7.754947903815125,-6.593073864621329,-0.1389226196543813,2.7052051803968618,0.6189261241982156
0.015,0.015,-0.015,-1.819576371869067,0.6419302567003525,0.27485003256727103,-0.5003995537024115,1.8818379626289357,-2.2037197390015524,0.6530300065723752,3.1907949700254874,1.047195105889175
0.015,0.015,-0.0075,-2.2031426703326065,0.9823298791383356,0.32722196138692033,-0.6919502499475155,3.1411588128455072,-2.903247547272414,0.4814541952276631,3.775850345505972,0.9335978986127376
0.015,0.015,0.0,-2.5847061316247526,1.5582142538979877,0.3230965938155355,-0.8962824675599126,4.642789039153864,-3.5835196976434642,0.1912223056673712,5.099287042029492,0.6067677491853121
0.015,0.015,0.0075,-2.953057545531004,2.287665744488175,0.30663216056684545,-1.2519456979675456,7.015445780371745,-4.409939987538046,-0.10004630067961089,5.1950520405190135,0.26869428198104345
0.015,0.015,0.015,-3.264073134480925,3.1480263587612343,0.2557544129674124,-1.6867402118751902,9.866186418860973,-5.232952614714129,-0.5584383681382782,5.493030330243398,-0.32540440961824346
